Название параметра,Этап обработки,Описание
Длина_ГП,Горячий прокат,Фактическая длина на этапе горячей прокатки
T_за_средней_клетью,Горячий прокат,Замеры температур
T_конца_проката,Горячий прокат,Замеры температур
T_рулона,Горячий прокат,Замеры температур
Толщина_перед_смоткой,Горячий прокат,Замер толщины
Длина_МС,Магнитные свойства,Фактическая длина
Средние_магнитные_потери,Магнитные свойства,Средние удельные потери
Коэффициент_свойств_стали,Магнитные свойства,Сводная характеристика продукции
Толщина_МС,Магнитные свойства,Фактическая толщина
Удельные_потери,Магнитные свойства,Целевая переменная
Длина_Н,Нормализация,Фактическая длина на этапе нормализации
Номер_бригады,Нормализация,Номер бригады
T_в_начале_нормализации,Нормализация,Замеры температур
T_в_середине_нормализации_1,Нормализация,Замеры температур
T_в_середине_нормализации_2,Нормализация,Замеры температур
T_в_конце_нормализации,Нормализация,Замеры температур
Длина_Обезуглероживание,Обезуглероживание,Фактическая длина на этапе обезуглероживания
Поступление_в_технологическую_секцию,Обезуглероживание,Дата и время технологической операции
Выезд_из_технологической_секции,Обезуглероживание,Дата и время технологической операции
CO_Этап2_зона1,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
CO_Этап2_зона2,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
CO_Этап2_зона3,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
CO_Этап2_зона4,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
CO2_Этап1,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
CO2_Этап2_зона1,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
CO2_Этап2_зона3,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
Калиброванное_значение_CO2_Этап2_зона4,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
NH3_Этап3_зона3,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
T_Этап3_зона4,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
Настройка_датчика_CO2_Этап2_зона4,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
Датчик_механических_свойств,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
H2_Этап3_зона3,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
Скорость_технологической_секции,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
H2_Этап4_зона1,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
H2_Этап2_зона1,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
H2_Этап2_зона2,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
H2_Этап2_зона3,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
H2_Этап2_зона4,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
H2_Этап3_зона1,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
H2_Этап3_зона2,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
NH3_Этап3_зона1,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
NH3_Этап3_зона2,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
CO_Этап2_зона5,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
T_Этап1_зона6,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
Т_Этап5_зона1,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
Т_Этап5_зона2,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
Т_Этап4_зона1,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
Т_Этап4_зона2,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
T_Этап1_зона1,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
T_Этап1_зона2,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
T_Этап1_зона3,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
T_Этап1_зона4,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
T_Этап1_зона5,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
T_Этап2_зона1,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
T_Этап2_зона2,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
T_Этап2_зона3,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
T_Этап2_зона4,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
T_Этап2_зона5,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
T_Этап2_зона6,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
T_Этап2_зона7,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
T_Этап3_зона1,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
T_Этап3_зона2,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
T_Этап3_зона3,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
Длина_Азотирование,Обезуглероживание,Фактическая длина на этапе обезуглероживания
Точка_росы_Этап4_зона1,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
Точка_росы_Этап2_зона2,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
Точка_росы_Этап2_зона3,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
Начало непрерывного отжига,Обезуглероживание,Дата и время технологической операции
Окончание непрерывного отжига,Обезуглероживание,Дата и время технологической операции
CO2_Этап2_зона5,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
H2_Этап2_зона5,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
Точка_росы_Этап1_зона1,Обезуглероживание,"Замеры с различных датчиков на этапе ""обезуглероживание"""
